water_depth (m),weight (t),installation_date,type_of_production (1 oil and gas; 2 oil; 3 gas),number_of_legs,number_of_piles,height_of_jacket_or_sub-structure (m),distance_to_coast (km),risk_to_other_users-complete,risk_to_other_users-partial,risk_to_personnel-complete,risk_to_personnel-partial,energy_consumption-complete (GJ),energy_consumption-partial (GJ),emissions-complete (t),emissions-partial (t),impacts_of_option-complete,impacts_of_option-partial,technical_feasibility_or_challenge-complete,technical_feasibility_or_challenge-partial,commercial_impact_on_fisheries-complete,commercial_impact_on_fisheries-partial,wider_community_impact-complete,wider_community_impact-partial,total_removal_cost-complete,total_removal_cost-partial
115,13764,39,2,8,29,129.129,120,0,3.362183272838593e-07,0.232,0.144,984742,586368,53494,44347,0.0,0,0.495,0.203,0.001,0.005,0.041,0.021,0.713,0.962
99,13263,31,1,8,5,115.606,281,1,2.536177635192871e-11,0.222,0.061,924461,637730,81109,46610,0.0,1,0.0,1.0,0.992,0.931,0.364,0.382,1.0,0.455
155,15264,45,3,8,21,165.994,120,0,1.5663726449012756e-05,0.275,0.16,390737,511789,32112,59115,0.0,0,0.491,1.0,0.0,0.0,0.005,0.023,0.53,0.492
100,10775,31,1,4,5,118.992,273,1,8.910894393920899e-12,0.293,0.144,396920,506549,33005,33331,0.0,1,0.0,0.998,0.534,0.767,0.501,0.186,1.0,0.682
154,10701,45,2,8,9,165.724,136,0,2.289412897825241e-05,0.025,0.026,299753,436533,24428,31097,0.444,1,0.096,1.0,0.997,0.913,0.979,0.939,0.571,0.922
102,27164,39,1,8,6,114.765,281,1,6.854534149169922e-13,0.313,0.145,1172811,885233,91770,63928,0.0,1,0.0,0.998,0.641,0.401,0.271,0.385,1.0,0.411
155,25247,45,2,8,31,165.664,144,0,2.2999799847602845e-05,0.025,0.01,299893,536919,25288,31450,1.0,1,0.475,1.0,1.0,0.94,1.0,1.0,0.69,0.893
149,24172,43,1,8,30,163.712,281,0,1.9913990020751957e-05,0.025,0.01,308345,440837,26483,31512,1.0,1,0.498,1.0,1.0,0.895,0.994,0.994,1.0,0.525
113,10575,35,1,8,6,130.444,275,1,3.6831639707088473e-06,0.027,0.011,343459,454328,27768,31207,0.056,1,0.0,1.0,1.0,0.94,0.926,0.94,0.979,0.873
128,10829,31,1,4,5,138.615,281,1,6.237626075744628e-11,0.137,0.083,588506,518782,54615,33558,0.0,1,0.0,1.0,1.0,0.94,0.613,0.853,1.0,0.411
99,13953,31,1,8,10,114.243,281,0,2.0563602447509765e-12,0.152,0.053,962821,502684,58635,34972,0.0,1,0.039,0.165,0.011,0.035,0.1,0.034,1.0,0.895
99,10609,31,1,4,5,114.44,281,1,6.854534149169922e-13,0.091,0.036,464379,439622,29227,31371,0.0,1,0.0,0.645,0.209,0.374,0.262,0.09,1.0,0.701
103,26919,44,1,8,13,114.239,164,1,1.576542854309082e-11,0.319,0.155,1177205,890820,91908,63962,0.0,1,0.0,0.996,0.022,0.096,0.189,0.156,1.0,0.523
100,11372,32,1,8,12,116.599,146,0,1.0386833250522614e-06,0.153,0.063,882711,513722,53272,34582,0.0,1,0.015,0.716,0.102,0.328,0.221,0.091,0.841,0.988
101,25131,36,1,8,11,114.337,279,1,6.854534149169922e-13,0.297,0.11,1166279,859999,91284,62523,0.0,1,0.002,0.824,0.045,0.099,0.17,0.2,1.0,0.516
99,25124,34,1,8,5,114.003,281,1,0.0,0.32,0.128,1174033,892734,91854,63846,0.0,1,0.0,1.0,0.998,0.94,0.596,0.51,1.0,0.41
113,10147,38,2,8,13,136.574,120,0,2.2537638366222386e-05,0.048,0.079,408862,463086,26319,31297,0.001,1,0.022,0.991,0.28,0.599,0.239,0.225,0.531,0.999
155,24285,45,3,8,31,165.836,126,0,2.2999810814857483e-05,0.025,0.01,299895,508936,24824,32173,1.0,1,0.489,1.0,1.0,0.939,1.0,1.0,0.547,0.866
155,25460,45,3,8,30,165.992,121,0,2.171002054214477e-05,0.039,0.147,306759,497109,26058,54695,0.054,0,0.5,0.999,0.322,0.008,0.502,0.485,0.584,0.441
100,14686,36,1,8,27,114.855,130,0,5.372919738292694e-07,0.068,0.042,973641,589635,60828,35284,0.001,1,0.476,0.231,0.028,0.104,0.164,0.113,0.912,0.994
122,13805,35,1,8,5,123.969,280,1,1.7616152763366698e-10,0.309,0.156,1099364,802879,88445,57366,0.0,1,0.0,1.0,0.997,0.938,0.435,0.651,1.0,0.439
140,10956,37,2,8,10,162.903,138,0,7.686931639909745e-06,0.053,0.127,327034,442170,24900,31580,0.0,1,0.26,0.969,0.147,0.163,0.405,0.26,0.749,0.815
151,27641,42,1,8,31,158.391,281,0,1.4994430541992188e-07,0.025,0.01,479442,526486,67698,58698,1.0,1,0.5,0.719,0.985,0.027,0.952,0.982,1.0,0.41
113,12626,40,1,4,5,119.406,281,1,0.0,0.32,0.16,904326,837008,69004,57208,0.0,1,0.0,1.0,0.984,0.939,0.719,0.601,1.0,0.413
155,27375,45,1,8,31,165.592,276,0,2.2996654987335204e-05,0.025,0.01,300527,469773,25642,32142,1.0,1,0.5,1.0,1.0,0.939,1.0,1.0,0.998,0.55
99,16724,31,1,8,12,114.228,280,0,2.63214111328125e-10,0.079,0.027,1073200,564806,79112,39990,0.0,1,0.084,0.215,0.041,0.147,0.134,0.056,1.0,0.949
142,17877,34,1,8,5,151.101,281,1,3.7377774715423585e-09,0.148,0.053,578055,597928,63203,44000,0.002,1,0.0,1.0,0.999,0.929,0.704,0.895,1.0,0.412
155,17126,45,3,8,31,160.799,120,0,2.299008560180664e-05,0.036,0.03,366362,610825,26849,34249,0.624,1,0.448,1.0,0.929,0.878,0.951,0.971,0.531,0.991
100,13337,31,1,4,5,115.821,281,1,0.0,0.205,0.039,532138,491649,65893,36859,0.0,1,0.0,1.0,0.991,0.901,0.733,0.639,1.0,0.41
114,25144,38,1,8,22,117.682,237,0,5.1409006118774407e-11,0.288,0.134,1140145,790875,89096,62355,0.0,1,0.11,0.496,0.016,0.016,0.128,0.207,1.0,0.446
99,10164,31,1,8,18,114.233,140,0,7.310634851455688e-08,0.04,0.04,802256,440315,30587,31184,0.0,1,0.422,0.152,0.001,0.02,0.028,0.011,0.977,1.0
99,25767,38,1,8,5,114.026,281,1,0.0,0.32,0.147,1172780,892821,91780,63882,0.0,1,0.0,1.0,0.984,0.938,0.61,0.559,1.0,0.419
151,11438,33,1,4,5,160.119,280,1,7.951259613037108e-10,0.276,0.157,545987,547488,50362,40417,0.0,1,0.0,1.0,0.961,0.88,0.425,0.69,0.998,0.413
99,21721,31,1,8,31,114.344,239,0,1.6039609909057616e-10,0.043,0.045,1082957,502477,75758,40984,0.0,1,0.5,0.15,0.0,0.0,0.009,0.005,1.0,0.895
99,11684,31,1,4,5,114.398,282,1,0.0,0.308,0.099,591733,519918,56228,36570,0.0,1,0.0,1.0,1.0,0.939,0.824,0.784,1.0,0.41
109,23329,31,1,8,5,121.398,281,1,0.0,0.234,0.093,1081408,720242,87473,60698,0.0,1,0.0,1.0,0.991,0.828,0.379,0.501,1.0,0.41
155,27637,45,3,8,31,164.997,139,0,2.240626847743988e-05,0.025,0.011,321492,643625,28125,59976,0.999,1,0.5,0.996,0.992,0.371,0.992,0.992,0.997,0.43
100,10140,31,1,8,12,126.558,120,0,8.368700742721557e-09,0.124,0.155,408620,441370,26833,31201,0.0,1,0.266,0.174,0.0,0.001,0.019,0.002,0.807,0.999
155,26814,45,2,8,31,165.925,218,0,2.299932551383972e-05,0.025,0.01,298377,469577,24634,31548,1.0,1,0.495,1.0,1.0,0.94,1.0,1.0,0.911,0.684
99,15049,34,1,8,5,114.056,278,1,3.427267074584961e-12,0.316,0.133,1086127,830018,85693,57367,0.0,1,0.0,1.0,0.922,0.925,0.383,0.169,1.0,0.7
141,10978,38,1,8,8,163.163,170,0,1.7656081795692444e-05,0.037,0.075,346394,450836,26733,31833,0.034,1,0.057,0.998,0.874,0.689,0.488,0.51,0.652,0.804
155,10379,45,3,8,17,165.752,120,0,2.299628210067749e-05,0.026,0.047,301513,461037,24511,31175,0.246,1,0.02,1.0,0.988,0.929,0.942,0.951,0.53,0.98
155,25838,45,1,8,29,164.183,280,0,2.0225704073905945e-05,0.025,0.01,327649,487133,35438,34166,1.0,1,0.445,1.0,1.0,0.934,0.99,0.998,0.999,0.427
155,26329,45,1,8,31,165.992,235,0,2.3e-05,0.025,0.01,297662,436207,24280,31065,1.0,1,0.5,1.0,1.0,0.94,1.0,1.0,0.899,0.872
100,15081,31,1,8,8,116.414,281,1,1.0213255882263183e-10,0.088,0.024,887899,492733,72702,38154,0.0,1,0.028,0.532,0.228,0.168,0.209,0.142,1.0,0.482
154,18587,45,3,8,28,164.613,131,0,2.2762645304203038e-05,0.034,0.034,337267,558390,29524,34765,0.84,1,0.487,0.999,0.954,0.728,0.923,0.907,0.571,0.853
102,10370,37,3,8,28,133.506,120,0,1.1816202402114867e-06,0.127,0.156,460375,464032,26389,32247,0.0,0,0.5,0.165,0.0,0.001,0.003,0.004,0.55,0.999
155,12764,44,3,8,12,165.756,120,0,1.2874611020088196e-06,0.268,0.16,502264,556866,37886,51319,0.0,0,0.347,0.983,0.002,0.001,0.023,0.075,0.536,0.58
116,11740,42,1,8,5,122.334,122,1,2.970069646835327e-09,0.32,0.16,1060700,863964,84175,61877,0.0,1,0.0,1.0,0.435,0.805,0.098,0.14,0.635,0.87
101,13025,31,1,4,9,119.846,272,0,2.0563602447509765e-11,0.144,0.065,573302,457469,45545,33205,0.0,1,0.1,0.197,0.011,0.007,0.191,0.031,1.0,0.671
154,13664,42,2,8,5,163.075,146,1,1.8705214858055116e-06,0.253,0.154,622579,632547,59149,46775,0.0,1,0.002,1.0,0.498,0.363,0.269,0.537,0.64,0.531
123,19709,37,2,8,24,137.591,186,0,3.2702091336250307e-06,0.054,0.049,658038,536332,50367,41269,0.063,1,0.494,0.416,0.164,0.075,0.313,0.26,0.955,0.788
99,23916,41,1,8,5,114.006,252,1,6.169080734252929e-11,0.316,0.122,1178280,889478,91830,63362,0.0,1,0.0,1.0,0.658,0.921,0.358,0.316,1.0,0.921
99,25758,31,1,8,31,115.816,281,0,3.0845403671264645e-11,0.026,0.019,989948,461867,76603,47051,0.0,1,0.5,0.15,0.0,0.0,0.004,0.005,1.0,0.536
99,13108,31,1,8,7,114.113,281,0,0.0,0.076,0.022,886679,460810,63727,33211,0.0,1,0.022,0.169,0.015,0.02,0.123,0.032,1.0,0.757
99,25471,40,1,8,5,114.014,281,1,0.0,0.32,0.156,1173967,893925,91881,63913,0.0,1,0.0,1.0,0.999,0.94,0.621,0.813,1.0,0.41
138,22869,44,1,8,14,132.879,216,0,4.481754899024963e-07,0.231,0.091,1060267,796108,84944,57782,0.016,1,0.015,0.998,0.87,0.737,0.571,0.811,0.97,0.608
116,10397,32,1,4,6,157.23,265,1,8.942905068397522e-08,0.066,0.121,361372,445057,27694,31668,0.0,1,0.005,0.986,0.502,0.346,0.21,0.214,0.985,0.702
121,12200,33,1,4,6,153.459,276,1,1.4864742755889893e-08,0.091,0.092,447712,474763,33657,34190,0.001,1,0.012,0.979,0.598,0.487,0.245,0.328,0.998,0.462
99,14453,35,1,8,29,114.609,181,0,8.330425024032593e-07,0.028,0.013,874739,502601,53623,32375,0.016,1,0.494,0.208,0.068,0.304,0.37,0.259,0.994,0.998
153,15411,42,1,4,15,165.137,272,0,1.8777986705303197e-05,0.026,0.016,316679,457484,27447,31927,0.946,1,0.289,1.0,0.997,0.857,0.932,0.932,0.971,0.47
123,14767,32,1,8,11,158.212,281,0,2.042747139930725e-07,0.027,0.017,370596,440697,31973,31961,0.278,1,0.423,0.903,0.855,0.252,0.579,0.609,1.0,0.441
155,27646,46,3,8,31,166.0,120,0,2.3e-05,0.025,0.01,297671,721750,24300,47686,1.0,1,0.5,1.0,1.0,0.94,1.0,1.0,0.574,0.434
100,27526,45,1,8,5,114.009,280,1,0.0,0.32,0.16,1180476,895487,91999,63999,0.0,1,0.0,1.0,0.998,0.94,0.59,0.734,1.0,0.417
155,26771,45,2,8,31,165.286,174,0,2.2991801977157596e-05,0.025,0.01,303167,511247,25273,32406,1.0,1,0.5,1.0,1.0,0.936,0.999,0.999,0.862,0.776
155,25999,45,3,8,31,165.865,121,0,2.299999451637268e-05,0.025,0.01,298466,530029,24458,31677,1.0,1,0.5,1.0,1.0,0.939,1.0,1.0,0.54,0.989
155,27600,45,3,8,31,166.0,120,0,2.3e-05,0.025,0.01,297721,600803,24339,33507,1.0,1,0.5,1.0,1.0,0.94,1.0,1.0,0.535,0.708
155,27307,45,3,8,31,165.958,190,0,2.2099363565444948e-05,0.029,0.02,321860,577164,30713,54709,0.994,1,0.5,1.0,0.99,0.283,0.965,0.985,0.963,0.417
100,11062,34,1,4,5,116.108,277,1,4.112720489501953e-12,0.314,0.158,787148,663112,55790,43928,0.0,1,0.0,1.0,0.968,0.935,0.514,0.455,1.0,0.53
126,21521,31,1,8,6,155.767,281,1,6.854534149169922e-12,0.033,0.012,782814,476544,79303,43201,0.009,1,0.004,1.0,0.999,0.703,0.428,0.87,1.0,0.41
99,11775,31,1,4,5,114.105,281,1,0.0,0.295,0.089,550535,488214,42120,34463,0.0,1,0.0,1.0,0.985,0.936,0.837,0.434,1.0,0.422
99,25093,40,1,8,29,114.023,259,0,4.28202748298645e-09,0.106,0.016,1156356,809636,89765,52319,0.001,1,0.152,0.797,0.251,0.617,0.451,0.565,1.0,0.969
99,13828,32,1,4,5,114.568,281,1,0.0,0.32,0.158,910825,849155,81494,59086,0.0,1,0.0,1.0,1.0,0.94,0.881,0.856,1.0,0.41
106,11490,31,1,4,5,132.372,281,1,1.576542854309082e-11,0.139,0.078,428735,469897,45503,35471,0.0,1,0.0,1.0,0.999,0.936,0.469,0.503,1.0,0.411
99,17903,34,1,8,5,114.13,281,1,0.0,0.32,0.159,1131826,879045,89976,63111,0.0,1,0.0,1.0,1.0,0.94,0.792,0.599,1.0,0.436
122,11830,39,1,8,5,124.201,280,1,7.139819860458373e-08,0.052,0.017,662148,630998,53727,33660,0.002,1,0.0,1.0,1.0,0.94,0.912,0.973,0.999,0.527
99,14621,36,1,8,12,114.275,185,1,5.469918251037596e-10,0.304,0.129,1102644,756276,83609,49121,0.0,1,0.001,0.865,0.089,0.302,0.266,0.121,0.997,0.941
138,11400,42,3,8,23,153.985,121,0,2.086033934354782e-05,0.041,0.073,369079,472177,26293,32083,0.008,1,0.419,0.967,0.301,0.355,0.499,0.465,0.546,0.971
135,10791,40,1,8,14,134.501,120,0,1.5855061173439025e-05,0.17,0.114,641781,553051,35638,33364,0.0,1,0.001,0.998,0.274,0.708,0.268,0.408,0.536,0.992
155,11086,45,3,4,8,165.988,122,0,2.262550663948059e-05,0.033,0.122,302825,462230,24803,31861,0.009,1,0.007,1.0,0.98,0.769,0.828,0.926,0.534,0.575
154,25942,43,2,8,26,164.877,250,0,4.119615465402603e-06,0.037,0.024,426767,530040,46286,50441,0.754,1,0.495,0.987,0.828,0.139,0.739,0.882,0.992,0.424
99,14247,31,1,8,15,114.287,281,0,1.2406706809997559e-10,0.027,0.011,886083,440705,58090,32027,0.0,1,0.469,0.155,0.016,0.013,0.055,0.029,1.0,0.853
153,17215,45,3,8,31,164.602,120,0,2.299620532989502e-05,0.026,0.027,310958,526281,25312,33354,0.853,1,0.5,0.999,0.968,0.796,0.938,0.911,0.533,0.991
99,10085,31,1,4,5,116.283,281,1,0.0,0.276,0.135,335081,441557,25559,31220,0.0,1,0.0,1.0,1.0,0.94,0.656,0.441,1.0,0.411
99,11426,31,1,4,5,116.388,281,1,1.4257431030273438e-10,0.09,0.047,542570,459673,31668,32296,0.0,1,0.001,0.877,0.393,0.52,0.295,0.167,1.0,0.529
155,25810,45,3,8,31,165.978,120,0,2.299893206357956e-05,0.026,0.019,299205,663672,24621,36437,0.991,1,0.499,1.0,0.998,0.925,0.998,0.998,0.531,0.889
155,27557,45,3,8,31,165.439,156,0,2.024841451644897e-05,0.025,0.016,325545,593161,35066,56458,0.987,1,0.5,0.989,0.963,0.089,0.925,0.957,0.984,0.447
155,27076,45,2,8,31,164.469,222,0,2.2997661232948303e-05,0.025,0.01,302171,489414,25735,31708,1.0,1,0.498,1.0,1.0,0.94,1.0,1.0,0.972,0.813
155,10480,39,1,4,5,165.574,278,0,1.3159681499004363e-05,0.025,0.013,300053,436370,24520,31083,0.236,1,0.0,1.0,1.0,0.94,0.983,0.991,0.976,0.463
113,21463,42,1,8,5,120.625,277,1,3.427267074584961e-12,0.319,0.16,1153515,879121,90615,63515,0.0,1,0.0,1.0,0.883,0.91,0.415,0.514,1.0,0.431
99,22852,35,1,8,5,114.033,281,1,0.0,0.32,0.151,1167888,887573,91618,63671,0.0,1,0.0,1.0,1.0,0.94,0.577,0.67,1.0,0.41
104,27532,35,1,8,31,115.967,281,0,2.016603946685791e-09,0.028,0.01,905702,555489,83883,51847,0.67,1,0.5,0.163,0.204,0.015,0.64,0.773,1.0,0.496
104,10273,31,1,4,5,120.212,280,1,1.1995434761047363e-10,0.277,0.13,458929,514341,35563,32584,0.0,1,0.0,1.0,0.994,0.938,0.445,0.413,0.999,0.537
117,16970,33,1,8,19,140.763,161,0,1.580655574798584e-09,0.174,0.138,772891,531848,59948,46725,0.0,0,0.481,0.204,0.004,0.002,0.037,0.032,0.992,0.569
100,15442,31,1,8,5,116.67,281,1,8.910894393920899e-12,0.101,0.03,761999,529251,64558,39523,0.0,1,0.001,0.98,0.634,0.451,0.254,0.221,1.0,0.432
134,16461,39,3,8,24,158.933,126,0,1.0106060564517974e-05,0.061,0.138,443702,490281,33120,40575,0.003,0,0.499,0.616,0.028,0.01,0.119,0.087,0.684,0.826
99,20102,32,1,8,5,114.033,281,1,0.0,0.303,0.068,1114727,751069,85821,55254,0.0,1,0.0,0.997,0.799,0.908,0.648,0.233,1.0,0.485
155,26591,45,3,8,31,165.246,120,0,2.2999950647354125e-05,0.025,0.012,301031,705429,24565,35075,0.998,1,0.5,1.0,0.999,0.934,0.999,0.999,0.531,0.991
155,10928,44,3,8,9,165.734,120,0,2.16781222820282e-05,0.158,0.159,372435,513606,29700,36506,0.0,0,0.04,1.0,0.034,0.048,0.128,0.248,0.53,0.844
101,10292,32,1,4,5,122.007,281,1,0.0,0.308,0.157,322850,459035,26071,31776,0.0,1,0.0,1.0,0.998,0.938,0.898,0.741,1.0,0.411
101,27189,32,1,8,5,114.148,281,1,0.0,0.306,0.031,1172676,885014,91945,63872,0.0,1,0.0,1.0,0.996,0.895,0.377,0.721,1.0,0.41
110,10460,37,3,8,22,132.829,120,0,3.2850224673748017e-06,0.124,0.145,608625,502398,33269,32896,0.0,0,0.479,0.363,0.001,0.009,0.015,0.008,0.545,0.997
99,23683,32,1,8,9,114.401,281,1,6.717443466186523e-11,0.156,0.034,1133896,747581,89143,59042,0.0,1,0.006,0.864,0.404,0.382,0.245,0.226,1.0,0.442
99,22610,33,1,8,25,114.216,263,0,2.9337406158447267e-10,0.222,0.053,1152484,715340,88068,56806,0.0,1,0.368,0.16,0.005,0.03,0.093,0.04,1.0,0.937
101,25999,41,1,8,5,114.168,281,1,0.0,0.319,0.157,1174626,891317,91687,63837,0.0,1,0.0,1.0,0.962,0.933,0.567,0.597,1.0,0.414
155,24218,45,3,8,29,165.836,120,0,5.259418934583664e-06,0.222,0.159,551010,587153,40641,61899,0.0,0,0.499,0.987,0.003,0.001,0.036,0.071,0.538,0.448
126,10172,31,1,4,5,158.204,281,1,1.3709068298339844e-12,0.108,0.118,321866,438652,25725,31252,0.0,1,0.0,1.0,1.0,0.939,0.63,0.802,1.0,0.41
103,11343,31,1,4,5,129.283,281,1,6.854534149169922e-12,0.182,0.096,549902,470027,41307,33382,0.0,1,0.001,0.969,0.337,0.425,0.291,0.38,1.0,0.452
151,26373,45,3,8,31,165.723,120,0,2.2586518049240116e-05,0.026,0.119,299851,573519,24594,42792,0.01,0,0.5,0.981,0.198,0.009,0.463,0.327,0.602,0.947
105,10351,31,1,4,5,145.415,267,1,1.3768017292022703e-08,0.049,0.087,344538,436072,25566,31242,0.0,1,0.002,0.97,0.276,0.409,0.328,0.085,0.996,0.713
155,27542,45,3,8,31,165.99,120,0,2.3e-05,0.025,0.01,297827,621162,24365,31852,1.0,1,0.5,1.0,1.0,0.94,1.0,1.0,0.534,0.931
107,11306,31,1,4,5,131.404,281,1,9.576469659805296e-09,0.045,0.033,433496,441815,30861,31513,0.002,1,0.003,0.978,0.852,0.785,0.44,0.423,1.0,0.468
99,20916,33,1,8,28,115.824,130,0,1.480579376220703e-09,0.222,0.122,1076276,643862,79545,50402,0.0,1,0.494,0.152,0.001,0.002,0.053,0.014,0.998,0.956
155,27642,45,3,8,31,165.968,266,0,2.295299571752548e-05,0.025,0.01,299130,525546,25280,50381,1.0,1,0.5,1.0,1.0,0.846,1.0,1.0,1.0,0.414
103,14346,34,1,8,13,117.732,183,0,1.3850888609886169e-07,0.158,0.075,902505,622732,66067,41068,0.0,1,0.077,0.68,0.069,0.167,0.206,0.158,0.951,0.928
154,27064,45,2,8,31,161.72,212,0,2.287119507789612e-05,0.025,0.01,317326,531780,27173,32907,1.0,1,0.5,1.0,0.999,0.916,0.998,0.998,0.978,0.823
99,18712,32,1,8,5,114.023,281,1,0.0,0.32,0.154,1135646,877385,90680,63275,0.0,1,0.0,1.0,1.0,0.94,0.701,0.54,1.0,0.413
155,26862,45,3,8,31,165.86,122,0,2.2999956130981444e-05,0.025,0.01,298938,556141,24605,31834,1.0,1,0.498,1.0,1.0,0.94,1.0,1.0,0.547,0.899
112,22326,42,1,8,5,117.604,281,1,0.0,0.32,0.159,1120098,874724,89246,63237,0.0,1,0.0,1.0,0.807,0.874,0.664,0.665,1.0,0.414
150,27226,45,3,8,31,139.178,133,0,3.058352619409561e-06,0.036,0.02,772845,725978,60748,56176,0.221,1,0.5,0.936,0.376,0.124,0.72,0.779,0.966,0.642
99,11946,31,1,8,6,114.072,281,0,0.0,0.026,0.011,664242,434523,45084,31295,0.0,1,0.176,0.151,0.006,0.003,0.044,0.017,1.0,0.447
99,22105,34,1,8,5,114.011,281,1,0.0,0.318,0.145,1163465,881434,91112,63068,0.0,1,0.0,1.0,0.848,0.929,0.639,0.177,1.0,0.744
102,10885,31,1,4,5,121.318,281,1,0.0,0.284,0.142,466946,508406,33557,34947,0.0,1,0.0,1.0,0.999,0.939,0.564,0.559,1.0,0.412
132,18162,40,1,8,5,119.979,271,1,4.517138004302978e-10,0.314,0.158,1134692,853027,89269,62486,0.0,1,0.0,1.0,0.919,0.906,0.264,0.56,0.997,0.425
146,11199,37,1,4,5,159.948,177,1,5.576698184013367e-07,0.245,0.156,567994,540995,39511,38505,0.0,1,0.001,1.0,0.498,0.503,0.197,0.354,0.784,0.598
135,11373,32,1,4,6,161.21,246,0,1.4153242111206054e-08,0.106,0.135,342953,443048,27823,33179,0.0,1,0.168,0.892,0.08,0.03,0.164,0.121,0.993,0.455
134,22239,45,1,8,6,123.244,126,1,4.725515842437744e-09,0.319,0.16,1166699,883392,91033,63665,0.0,0,0.0,1.0,0.117,0.452,0.152,0.305,0.865,0.625
118,11416,37,1,8,9,144.847,121,0,2.8645783662796023e-08,0.307,0.159,563718,569111,45317,41974,0.0,0,0.007,0.874,0.005,0.012,0.092,0.034,0.71,0.941
106,10238,31,1,4,5,123.103,281,1,3.427267074584961e-12,0.29,0.155,449413,477776,32798,32369,0.0,1,0.0,1.0,0.998,0.939,0.601,0.513,1.0,0.425
99,19663,31,1,8,5,114.0,282,1,0.0,0.314,0.042,1132821,785578,87831,57190,0.0,1,0.0,1.0,0.987,0.939,0.727,0.172,1.0,0.419
110,23016,42,1,8,22,116.891,277,0,5.27435839176178e-08,0.065,0.014,1057435,689972,81565,43677,0.057,1,0.035,0.996,0.929,0.88,0.794,0.905,1.0,0.761
100,18214,32,1,8,5,114.943,281,1,1.3709068298339844e-12,0.302,0.107,1001237,736958,82547,55901,0.0,1,0.0,1.0,0.98,0.922,0.574,0.474,1.0,0.415
130,10866,34,1,8,5,137.228,278,1,7.814168930053712e-11,0.301,0.158,775417,621052,53239,41233,0.0,1,0.0,1.0,0.973,0.927,0.254,0.56,0.999,0.437
99,25393,34,1,8,5,114.0,281,1,0.0,0.318,0.069,1177294,883991,91764,63388,0.0,1,0.0,0.992,0.42,0.831,0.502,0.057,1.0,0.891
154,24058,38,2,8,17,165.146,266,0,1.1098998785018921e-07,0.092,0.104,541395,506447,52996,54720,0.042,1,0.495,0.908,0.189,0.009,0.175,0.346,0.997,0.412
103,12573,38,1,8,8,114.538,218,1,3.985459208488465e-07,0.145,0.027,1047336,641651,71441,36574,0.002,1,0.0,1.0,0.974,0.929,0.551,0.683,0.962,0.935
152,10735,38,3,4,8,165.572,121,0,1.5829946160316467e-05,0.071,0.152,317071,444299,24864,32291,0.0,0,0.383,0.993,0.063,0.056,0.185,0.1,0.543,0.671
101,10480,32,1,8,5,117.651,244,1,5.433589220046997e-09,0.267,0.121,603417,561885,40726,34658,0.0,1,0.0,1.0,0.937,0.922,0.273,0.195,0.986,0.868
155,26193,45,3,8,31,165.998,120,0,2.3e-05,0.025,0.038,298050,733739,24339,41627,0.997,0,0.5,1.0,0.999,0.929,0.999,0.999,0.53,0.952
119,25843,44,1,8,12,115.559,132,1,2.2551417350769043e-10,0.319,0.158,1166457,883204,91158,63788,0.0,1,0.0,0.993,0.025,0.107,0.198,0.158,0.991,0.542
155,10392,42,3,8,7,165.228,120,0,2.04337460398674e-05,0.088,0.155,378088,505341,28186,33126,0.0,0,0.009,1.0,0.178,0.303,0.143,0.181,0.531,0.961
155,26391,45,3,8,31,162.967,121,0,2.2912256479263307e-05,0.029,0.014,349511,675114,29401,43079,0.963,1,0.5,0.999,0.979,0.739,0.98,0.977,0.652,0.747
123,18016,45,1,8,18,115.649,138,0,1.9171490430831908e-05,0.045,0.011,822408,799954,65203,36895,0.23,1,0.0,1.0,1.0,0.94,0.99,0.995,0.712,0.994
148,27618,43,1,8,31,140.235,281,0,6.300961971282959e-08,0.026,0.01,733718,630359,76291,58961,0.993,1,0.5,0.391,0.876,0.044,0.934,0.962,1.0,0.414
99,19353,31,1,8,6,114.011,281,1,0.0,0.061,0.011,1138617,539282,89183,43241,0.0,1,0.0,0.68,0.241,0.24,0.111,0.072,1.0,0.421
99,17477,32,1,8,5,114.33,281,1,3.7699937820434566e-11,0.267,0.072,1146618,781790,89126,58296,0.0,1,0.0,0.999,0.87,0.91,0.229,0.269,1.0,0.649
100,23329,32,1,8,5,114.305,281,1,0.0,0.309,0.089,1148361,861566,91226,62853,0.0,1,0.0,1.0,1.0,0.939,0.444,0.567,1.0,0.41
150,10943,31,1,4,5,164.02,281,1,2.5167793035507202e-08,0.034,0.032,314203,437774,26337,31335,0.002,1,0.0,1.0,0.991,0.848,0.735,0.728,0.999,0.416
154,27561,45,2,8,31,165.575,278,0,1.8410646736621856e-05,0.025,0.01,310176,492175,29741,45822,1.0,1,0.5,0.996,0.998,0.464,0.99,0.994,1.0,0.417
99,27091,40,1,8,5,114.001,281,1,0.0,0.32,0.127,1178249,893580,91920,63904,0.0,1,0.0,0.999,0.458,0.895,0.693,0.344,1.0,0.47
109,10084,31,1,4,5,143.445,276,1,6.073117256164551e-10,0.132,0.113,305580,435974,24509,31109,0.0,1,0.0,1.0,0.986,0.93,0.537,0.332,0.996,0.504
135,23451,44,1,8,26,124.988,205,0,5.252124339342117e-06,0.112,0.029,910678,719098,71926,47463,0.355,1,0.208,0.991,0.898,0.834,0.814,0.892,0.967,0.847
116,21876,38,1,8,30,140.435,186,0,3.010441482067108e-06,0.036,0.027,520546,564724,41340,39326,0.085,1,0.499,0.338,0.214,0.071,0.514,0.367,0.987,0.809
